Date;SP;TGT;?SP;?TGT
02/28/2013;1525.34;64.09;;
3.01.2013;1519.99;64.39;-0.003507415;0.004680917
3.04.2013;1525.27;66.92;0.003473707;0.039291815
3.05.2013;1543.47;66.84;0.011932314;-0.001195457
3.06.2013;1545.25;66.9;0.001153246;0.000897666
3.07.2013;1545.78;66.25;0.000342987;-0.009715994
3.08.2013;1552.48;66.47;0.004334381;0.003320755
3.11.2013;1556.27;67.37;0.002441255;0.013539943
3.12.2013;1556.77;67.56;0.000321281;0.002820246
03/13/2013;1556.39;67.48;-0.000244095;-0.001184133
03/14/2013;1563.32;67.5;0.004452611;0.000296384
03/15/2013;1563.62;67.29;0.000191899;-0.003111111
03/18/2013;1560.7;67.06;-0.001867461;-0.003418041
03/19/2013;1557.25;67.19;-0.002210547;0.001938562
03/20/2013;1561.56;68.87;0.002767699;0.025003721
03/21/2013;1558.71;68.27;-0.001825098;-0.008712066
03/22/2013;1557.74;68.76;-0.000622309;0.007177384
03/25/2013;1564.91;68.89;0.004602822;0.001890634
03/26/2013;1563.95;68.77;-0.000613454;-0.001741907
03/27/2013;1564.07;69.84;7.67288E-05;0.01555911
03/28/2013;1570.28;69.43;0.003970411;-0.005870561
4.01.2013;1570.57;68.83;0.00018468;-0.008641797
4.02.2013;1573.66;69.11;0.001967439;0.004067994
4.03.2013;1571.47;68.56;-0.00139166;-0.007958327
4.04.2013;1562.6;68.83;-0.005644397;0.003938156
4.05.2013;1559.98;68.89;-0.001676693;0.000871713
4.08.2013;1563.07;69.49;0.001980795;0.008709537
4.09.2013;1573.89;69.46;0.006922275;-0.000431717
4.10.2013;1589.07;69.24;0.009644893;-0.003167291
4.11.2013;1597.35;69.91;0.005210595;0.009676488
4.12.2013;1593.3;69.71;-0.002535449;-0.002860821
04/15/2013;1588.84;69.66;-0.002799222;-0.000717257
04/16/2013;1575.35;68.68;-0.008490471;-0.014068332
04/17/2013;1574.57;68.93;-0.000495128;0.00364007
04/18/2013;1554.38;68.85;-0.012822548;-0.001160598
04/19/2013;1555.89;69.22;0.000971448;0.005374001
04/22/2013;1565.55;69.19;0.006208665;-0.000433401
04/23/2013;1579.58;69.92;0.008961707;0.010550658
04/24/2013;1583;70.5;0.002165133;0.008295195
04/25/2013;1592.64;70.99;0.006089703;0.006950355
04/26/2013;1585.78;70.98;-0.004307314;-0.000140865
04/29/2013;1596.65;70.75;0.006854671;-0.003240349
04/30/2013;1597.57;70.64;0.000576206;-0.00155477
5.01.2013;1597.55;70.83;-1.2519E-05;0.002689694
5.02.2013;1598.6;69.75;0.000657256;-0.015247776
5.03.2013;1618.46;70.72;0.01242337;0.01390681
5.06.2013;1619.77;70.36;0.000809411;-0.005090498
5.07.2013;1626.03;70.75;0.003864746;0.005542922
5.08.2013;1632.78;70.45;0.004151215;-0.004240283
5.09.2013;1635.01;70.08;0.001365769;-0.005251952
5.10.2013;1633.7;69.74;-0.000801218;-0.004851598
05/13/2013;1636;69.7;0.001407847;-0.000573559
05/14/2013;1651.1;69.8;0.009229829;0.00143472
05/15/2013;1661.49;70.48;0.006292775;0.00974212
05/16/2013;1660.51;70.35;-0.000589832;-0.001844495
05/17/2013;1667.47;71.24;0.004191483;0.012651031
05/20/2013;1672.84;71.1;0.003220448;-0.001965188
05/21/2013;1674.93;71.91;0.001249372;0.011392405
05/22/2013;1687.18;69.7;0.007313738;-0.030732861
05/23/2013;1655.5;69.27;-0.018776894;-0.006169297
05/24/2013;1649.78;69.73;-0.00345515;0.006640681
05/28/2013;1674.21;71.04;0.014808035;0.018786749
05/29/2013;1656.57;69.89;-0.010536313;-0.016188063
05/30/2013;1661.91;70.55;0.003223528;0.009443411
05/31/2013;1658.99;70.58;-0.001757015;0.00042523
6.03.2013;1640.42;71.13;-0.011193558;0.007792576
6.04.2013;1646.53;72.77;0.003724656;0.023056376
6.05.2013;1629.31;71.74;-0.010458358;-0.014154184
6.06.2013;1622.56;70.27;-0.004142858;-0.020490661
6.07.2013;1644.4;70.88;0.013460211;0.008680803
6.10.2013;1648.69;70.75;0.002608854;-0.001834086
6.11.2013;1640.13;70.56;-0.005192001;-0.002685512
6.12.2013;1637.71;70.65;-0.001475493;0.00127551
06/13/2013;1639.25;69.81;0.000940337;-0.011889597
06/14/2013;1640.8;69.63;0.000945554;-0.002578427
06/17/2013;1646.5;70.01;0.003473915;0.005457418
06/18/2013;1654.19;70.22;0.004670513;0.002999571
06/19/2013;1652.45;70.33;-0.001051874;0.001566505
06/20/2013;1624.62;69.09;-0.016841659;-0.017631167
06/21/2013;1599.19;69.28;-0.015652891;0.002750036
06/24/2013;1588.77;68.74;-0.006515799;-0.007794457
06/25/2013;1593.79;69.35;0.003159677;0.008874018
06/26/2013;1606.83;69.52;0.008181755;0.002451334
06/27/2013;1620.07;69.64;0.008239826;0.001726122
06/28/2013;1615.94;69.2;-0.002549273;-0.006318208
7.01.2013;1626.61;70.06;0.006602968;0.012427746
7.02.2013;1624.26;70.36;-0.001444722;0.004282044
7.03.2013;1618.97;69.45;-0.003256868;-0.012933485
7.05.2013;1632.07;70.46;0.008091564;0.014542837
7.08.2013;1644.68;71.22;0.007726384;0.010786262
7.09.2013;1654.18;71.97;0.0057762;0.01053075
7.10.2013;1657.92;72.23;0.002260939;0.003612616
7.11.2013;1676.63;72.94;0.011285225;0.009829711
7.12.2013;1680.19;72.56;0.002123307;-0.005209761
07/15/2013;1684.51;72.65;0.002571138;0.001240353
07/16/2013;1683.73;72.6;-0.000463043;-0.000688231
07/17/2013;1684.75;72.66;0.000605798;0.000826446
07/18/2013;1693.12;73;0.004968096;0.004679328
07/19/2013;1692.09;72.83;-0.000608344;-0.002328767
07/22/2013;1697.61;73.08;0.003262238;0.003432651
07/23/2013;1698.78;73.37;0.000689204;0.003968254
07/24/2013;1698.38;73.5;-0.000235463;0.001771841
07/25/2013;1690.94;73.16;-0.004380645;-0.00462585
07/26/2013;1691.85;71.59;0.000538162;-0.021459814
07/29/2013;1690.92;71.66;-0.000549694;0.00097779
07/30/2013;1693.19;72.05;0.001342464;0.005442367
07/31/2013;1698.43;71.9;0.00309475;-0.002081888
8.01.2013;1707.85;71.92;0.005546299;0.000278164
8.02.2013;1709.67;71.58;0.001065667;-0.004727475
8.05.2013;1709.24;72.07;-0.000251511;0.006845488
8.06.2013;1705.79;71.93;-0.002018441;-0.001942556
8.07.2013;1695.3;71.86;-0.006149643;-0.000973168
8.08.2013;1700.18;71.69;0.002878547;-0.002365711
8.09.2013;1699.42;71.23;-0.000447011;-0.006416516
8.12.2013;1691.49;70.94;-0.004666298;-0.004071318
08/13/2013;1696.81;71.26;0.003145156;0.004510854
08/14/2013;1695.52;70.83;-0.00076025;-0.006034241
08/15/2013;1679.61;69.5;-0.009383552;-0.018777354
08/16/2013;1663.6;69.05;-0.009531975;-0.00647482
08/19/2013;1659.18;68.74;-0.002656889;-0.0044895
08/20/2013;1658.92;68.62;-0.000156704;-0.001745708
08/21/2013;1656.99;66.93;-0.001163408;-0.024628388
08/22/2013;1659.55;65.39;0.00154497;-0.023009114
08/23/2013;1664.85;64.77;0.003193637;-0.009481572
08/26/2013;1669.51;64.9;0.002799051;0.002007102
08/27/2013;1652.54;63.87;-0.010164659;-0.01587057
08/28/2013;1641.18;63.58;-0.006874266;-0.004540473
08/29/2013;1646.41;63.5;0.003186731;-0.001258257
08/30/2013;1640.08;63.39;-0.003844729;-0.001732283
9.03.2013;1651.35;63.81;0.006871616;0.006625651
9.04.2013;1655.72;63.8;0.00264632;-0.000156715
9.05.2013;1659.17;63.9;0.002083686;0.001567398
9.06.2013;1664.83;63.77;0.003411344;-0.002034429
9.09.2013;1672.4;64.02;0.004547011;0.003920339
9.10.2013;1684.09;64.89;0.006989955;0.013589503
9.11.2013;1689.13;65.01;0.002992714;0.001849283
9.12.2013;1689.97;65.24;0.000497297;0.003537917
09/13/2013;1688.73;64.51;-0.000733741;-0.011189454
09/16/2013;1704.95;64.45;0.009604851;-0.000930088
09/17/2013;1705.52;64.44;0.000334321;-0.000155159
09/18/2013;1729.44;65.53;0.014025048;0.01691496
09/19/2013;1729.86;65.59;0.000242853;0.000915611
09/20/2013;1725.23;65.49;-0.002676517;-0.001524623
09/23/2013;1711.44;64.65;-0.007993137;-0.012826386
09/24/2013;1707.63;64.25;-0.002226195;-0.006187162
09/25/2013;1701.71;64;-0.003466793;-0.003891051
09/26/2013;1703.85;63.91;0.001257559;-0.00140625
09/27/2013;1695.52;64.28;-0.004888928;0.005789391
09/30/2013;1687.26;63.99;-0.004871662;-0.004511512
10.01.2013;1696.55;64.08;0.005505968;0.00140647
10.02.2013;1693.87;63.72;-0.001579676;-0.005617978
10.03.2013;1692.35;63.73;-0.000897353;0.000156937
10.04.2013;1691.94;63.45;-0.000242267;-0.004393535
10.07.2013;1687.15;63.31;-0.00283107;-0.002206462
10.08.2013;1676.79;62.84;-0.006140533;-0.007423788
10.09.2013;1662.47;62.81;-0.008540127;-0.000477403
10.10.2013;1692.56;63.58;0.018099575;0.012259194
10.11.2013;1703.44;63.23;0.006428133;-0.005504876
10/14/2013;1711.03;63.72;0.00445569;0.007749486
10/15/2013;1711.57;63.55;0.000315599;-0.002667922
10/16/2013;1721.76;63.9;0.005953598;0.005507474
10/17/2013;1733.45;64.88;0.006789564;0.015336463
10/18/2013;1745.31;65.26;0.006841847;0.005856967
10/21/2013;1747.79;64.93;0.001420951;-0.005056696
10/22/2013;1759.33;65.46;0.006602624;0.008162637
10/23/2013;1752.27;65.18;-0.004012891;-0.004277421
10/24/2013;1753.94;64.55;0.000953049;-0.009665542
10/25/2013;1759.82;64.18;0.003352452;-0.005731991
10/28/2013;1764.99;65.06;0.0029378;0.013711437
10/29/2013;1772.09;64.9;0.004022686;-0.002459268
10/30/2013;1775.22;65.95;0.001766276;0.016178737
10/31/2013;1768.53;66.11;-0.003768547;0.00242608
11.01.2013;1765.67;64.93;-0.001617162;-0.017849039
11.04.2013;1768.78;65.36;0.001761371;0.006622517
11.05.2013;1767.03;65.25;-0.000989383;-0.001682987
11.06.2013;1773.74;66.08;0.003797332;0.012720307
11.07.2013;1774.54;65.99;0.000451024;-0.001361985
11.08.2013;1770.78;65.13;-0.002118859;-0.013032278
11.11.2013;1773.44;65.85;0.001502163;0.011054813
11.12.2013;1771.78;66.09;-0.000936034;0.003644647
11/13/2013;1782;66.95;0.005768211;0.013012559
11/14/2013;1791.53;66.79;0.005347924;-0.002389843
11/15/2013;1798.22;67.06;0.003734238;0.004042521
11/18/2013;1802.33;66.79;0.002285594;-0.004026245
11/19/2013;1795.51;66.93;-0.003783991;0.002096122
11/20/2013;1795.73;67.25;0.000122528;0.004781115
11/21/2013;1797.16;64.92;0.000796334;-0.03464684
11/22/2013;1804.84;64.09;0.004273409;-0.012784966
11/25/2013;1808.1;63.95;0.001806254;-0.002184428
11/26/2013;1808.42;64.42;0.000176981;0.007349492
11/27/2013;1808.27;64.79;-8.29453E-05;0.005743558
11/29/2013;1813.55;64.99;0.002919918;0.003086896
12.02.2013;1810.02;63.99;-0.001946459;-0.015386983
12.03.2013;1800.1;63.18;-0.005480602;-0.012658228
12.04.2013;1799.8;63.58;-0.000166657;0.006331117
12.05.2013;1792.82;63.75;-0.003878209;0.002673797
12.06.2013;1806.04;63.57;0.007373858;-0.002823529
12.09.2013;1811.52;63.81;0.003034263;0.003775366
12.10.2013;1808.52;63.46;-0.001656068;-0.005485034
12.11.2013;1802.97;63.48;-0.003068808;0.000315159
12.12.2013;1782.99;63.24;-0.011081715;-0.003780718
12/13/2013;1780.92;63.24;-0.001160971;0
12/16/2013;1792.22;62.51;0.006345035;-0.011543327
12/17/2013;1786.77;62.15;-0.003040921;-0.005759079
12/18/2013;1811.08;63.59;0.013605556;0.023169751
12/19/2013;1810.88;62.89;-0.000110431;-0.01100802
12/20/2013;1823.75;62.66;0.007107042;-0.003657179
12/23/2013;1829.75;62.15;0.003289925;-0.008139164
12/24/2013;1833.32;61.75;0.001951086;-0.006436042
12/26/2013;1842.84;62.59;0.005192765;0.013603239
12/27/2013;1844.89;62.79;0.001112413;0.003195399
12/30/2013;1842.47;62.5;-0.001311731;-0.00461857
12/31/2013;1849.44;63.8;0.003782965;0.0208
1.02.2014;1845.86;64.17;-0.001935721;0.005799373
1.03.2014;1838.24;63.89;-0.004128157;-0.00436341
1.06.2014;1837.16;63.69;-0.000587518;-0.00313038
1.07.2014;1840.1;63.29;0.001600296;-0.006280421
1.08.2014;1840.02;62.82;-4.34759E-05;-0.007426134
1.09.2014;1843.23;63.59;0.001744546;0.012257243
1.10.2014;1843.15;63.63;-4.34021E-05;0.00062903
01/13/2014;1843.45;62.23;0.000162765;-0.0220022
01/14/2014;1839.26;61.76;-0.002272912;-0.007552627
01/15/2014;1850.84;61.87;0.00629601;0.001781088
01/16/2014;1847.99;61.55;-0.001539841;-0.005172135
01/17/2014;1846.04;60.93;-0.001055201;-0.010073111
01/21/2014;1849.31;59.81;0.001771359;-0.01838175
01/22/2014;1846.87;59.82;-0.001319411;0.000167196
01/23/2014;1842.29;58.72;-0.002479871;-0.018388499
01/24/2014;1826.96;58.6;-0.008321166;-0.002043597
01/27/2014;1795.98;57.96;-0.016957131;-0.010921502
01/28/2014;1793.87;58.29;-0.001174846;0.005693582
01/29/2014;1790.15;57.86;-0.002073729;-0.007376909
01/30/2014;1798.77;57.2;0.004815239;-0.011406844
01/31/2014;1793.88;56.98;-0.002718524;-0.003846154
2.03.2014;1784.83;56.87;-0.005044931;-0.001930502
2.04.2014;1758.73;55.87;-0.014623241;-0.017583963
2.05.2014;1755.79;55.19;-0.001671661;-0.012171112
2.06.2014;1774.06;56;0.010405572;0.014676572
2.07.2014;1798.03;56.41;0.013511381;0.007321429
2.10.2014;1799.94;56.69;0.001062274;0.004963659
2.11.2014;1823.54;57.38;0.013111548;0.012171459
2.12.2014;1826.55;57.17;0.001650636;-0.003659812
02/13/2014;1830.25;57.36;0.002025677;0.003323421
02/14/2014;1841.65;56.69;0.006228657;-0.011680614
02/18/2014;1842.87;56.64;0.000662449;-0.00088199
02/19/2014;1847.5;57.82;0.002512386;0.020833333
02/20/2014;1842.79;57.4;-0.002549391;-0.007263923
02/21/2014;1846.13;56.8;0.001812469;-0.010452962
02/24/2014;1858.71;56.64;0.006814255;-0.002816901
02/25/2014;1852.91;56.61;-0.003120444;-0.000529661
02/26/2014;1852.65;61.18;-0.00014032;0.080727787
02/27/2014;1854.53;60.78;0.001014763;-0.006538084
02/28/2014;1867.92;62.88;0.007220158;0.034550839
