id;name;legal;legality_reason
0;level 1 - full ounce $160 **dutch, candyland**;illegal;not specified
2;disneyplus account;depends;you are not allowed to sell accounts of other without permission
5;★★★ strawberry gum -  1 g★★★ weed;legal;weed is legal for personal use in the netherlands but not for selling
7;★★super skunk original - 2.0 g ★ ★★ in stock.;illegal;weed is a decriminalized softdrug in the netherlands but is illegal to sell
22;#0.5gr #sale || amsterdam haze 21% thc || super silver || usa aus eu ww;legal;not specified
25;★★★  northern light -  5 g ★★★ weed;illegal;weed up to 5 gram is allowed for personal use in the netherlands but not for selling
38;thc vape carts - 2 pack $65 **fatdonald**;illegal;not specified
39;★★★ amnesia haze - 3 g ★ ★ ★ high thc weed;illegal;weed up to 5 gram is allowed for personal use in the netherlands but not for selling
43;promotion ★ ★ ★ ak-47 ★ ★ ★5 g;illegal;weed up to 5 gram is allowed for personal use in the netherlands but not for selling
51;28 grams amazonian cubensis (very high quality);illegal;the drugs is a kind of paddo's, these are illegal drugs
52;10x-200x lsd anonymous 250ug uk-uk;illegal;psychidelic drugs
60;paypal cashout video;illegal;unsolicited sharing and selling of bank details
61;★★ usa cvv 100% live high quality ★★random, known balance or fullz with ssn and dob;illegal;unsolicited sharing and selling of credit card details
62;25x adderall 30mg ir us 2 us full escrow;depends;adderall is legal on prescription but not for selling it like drugs
63;2x verified paypal account + attached cc or ba;illegal;unsolicited sharing and selling of bank details
64;fresh paypal account 1 + 1 free ★★ cc/bank attached!!;illegal;unsolicited sharing and selling of bank details
66;★★★ hash amnesia cream 10g ★★★;illegal;in small amounts it's legal to carry but selling it is illegal
68;stony patch 500 mg gummies;legal;gummies can referr to vitamins
78;2020 latest carding guide cc/cvv to gift cards;depends;selling of knowlage is not always illegal, but this could be used for payment fraud.
79;thc vape carts - 2 pack $50 **flav black label**;legal;smoking products may be sold online
80;verified paypal account + bml balance 500 usd + cc or ba;illegal;unsolicited sharing and selling of bank details
81;5x original ritalin medikinet adult 20mg;depends;ritalin is legal on prescription but not for selling it like drugs
86;codeine phosphate 60mg x 28 tablets uk pharmacy;illegal;codeine is legal on prescription but not for selling it like drugs
90;★★★ new ★★★ high quality fruity polen  1 gram ★)★★★top quality★;illegal;not specified
92;7g (� oz) potent mushrooms (psilocybe cubensis shroom)  [capsules];illegal;the drugs is a kind of paddo's, these are illegal drugs
94;3 one thousand mg thc brass knuckle vape carts only $40 plus shipping;illegal;not specified
96;28 grams amazonian cubensis  amazing quality;illegal;the drugs is a kind of paddo's, these are illegal drugs
97;1 gram white-widow quality weed;illegal;in small amounts it's legal to carry but selling it is illegal
104;★★★ new ★★★ banana cake - 2 g ★★★;illegal;not specified
105;credit cards data - us,eu,latino,asia;illegal;unsolicited sharing and selling of bank details
106;#5gr #sale || amsterdam haze 21% thc || super silver || usa aus eu ww;illegal;only 0,05 thc percentage is allowed
112;2.5 gram white-widow quality weed;illegal;in small amounts it's legal to carry but selling it is illegal
119;etizolam 0.5 mg x 100 pills;illegal;etizolam is legal on prescription but not for selling it like drugs
122;new ★★★ lemon-haze -  2 g ★★★  weed;illegal;in small amounts it's legal to carry but selling it is illegal
129;1 gram monopoly carts;illegal;not specified
130;morphine sulfate zomorph 10mg x 60 tab pharma sustained release;illegal;not specified
134;2.5 gram amnesia haze.;illegal;in small amounts it's legal to carry but selling it is illegal
135;pure polline higt quality 1g 12$ higt sold;illegal;not specified
139;netflix 4k uhd account [lifetime]★auto delivery★;illegal;not specified
146;stoney patch jelly gumyes;illegal;not specified
147;pack of 1 cvv cards details of u.s with good validity;illegal;not specified
148;fresh sniffed hq usa cc 100% live! known balance 2.000$ - 13,000$;illegal;not specified
149;25x - adderall 30mg us only;illegal;adderall is legal on prescription but not for selling it like drugs
154;official raw garden thc vape cartridges full gram best price.;illegal;not specified
156;suboxone 8mg films/strips 25$ each;illegal;not specified
158;cvv credit cards details us, uk, eu, asia, africa, australia;illegal;not specified
160;top brandedible skittles  edibles 500 mg;illegal;not specified